frame,total,visibility,gbuffer,lighting,tonemap,index_count
3470,1.38691,0.41376,0.28650,0.59164,0.07476,2921210.70000
3480,1.38986,0.41742,0.28552,0.59145,0.07474,2898400.50000
3490,1.39043,0.42045,0.28303,0.59134,0.07457,2845018.20000
3500,1.38652,0.42120,0.27829,0.59148,0.07498,2804416.20000
3510,1.39240,0.42914,0.27677,0.59120,0.07482,2783746.80000
3520,1.39048,0.43127,0.27323,0.59072,0.07466,2762529.60000
3530,1.37089,0.41740,0.26869,0.59050,0.07464,2734334.40000
3540,1.36164,0.41153,0.26414,0.59123,0.07447,2669907.60000
3550,1.36068,0.41225,0.26293,0.59074,0.07467,2574062.40000
3560,1.36438,0.41766,0.26190,0.59054,0.07463,2542789.50000
3570,1.36457,0.41786,0.26121,0.59046,0.07480,2515193.40000
3580,1.36734,0.41909,0.26261,0.59096,0.07480,2513067.30000
3590,1.37004,0.42060,0.26415,0.59070,0.07460,2510653.80000
3600,1.36883,0.41818,0.26538,0.59082,0.07469,2505327.60000
3610,1.36212,0.41141,0.26572,0.59109,0.07441,2451846.00000
3620,1.35816,0.40528,0.26731,0.59108,0.07456,2369449.20000
3630,1.35846,0.40286,0.27022,0.59102,0.07442,2368488.00000
3640,1.35292,0.39547,0.27200,0.59124,0.07455,2366720.40000
3650,1.35173,0.39155,0.27481,0.59144,0.07454,2366664.00000
3660,1.34878,0.38852,0.27558,0.59131,0.07369,2367744.60000
3670,1.33657,0.38084,0.27241,0.59030,0.07347,2368695.60000
3680,1.33113,0.37463,0.27418,0.58969,0.07312,2365848.60000
3690,1.32823,0.37092,0.27575,0.58917,0.07267,2364962.40000
3700,1.32136,0.36122,0.27999,0.58873,0.07218,2363634.00000
3710,1.31416,0.35216,0.28234,0.58837,0.07170,2357083.20000
3720,1.30277,0.34045,0.28347,0.58809,0.07163,2345174.40000
3730,1.29651,0.33542,0.28329,0.58727,0.07113,2344371.60000
3740,1.29796,0.33777,0.28268,0.58736,0.07083,2333565.30000
3750,1.30505,0.34428,0.28306,0.58726,0.07123,2311080.60000
3760,1.31271,0.35212,0.28372,0.58710,0.07074,2305883.40000
3770,1.30978,0.35336,0.28102,0.58653,0.06986,2302999.80000
3780,1.30350,0.35036,0.27917,0.58590,0.06924,2265827.70000
3790,1.29240,0.34352,0.27566,0.58539,0.06916,2222516.40000
3800,1.28078,0.33412,0.27398,0.58540,0.06885,2151437.40000
3810,1.27344,0.32966,0.27158,0.58474,0.06847,2134032.60000
3820,1.27149,0.33096,0.26932,0.58446,0.06838,2127887.40000
3830,1.27104,0.33350,0.26666,0.58424,0.06793,2126010.00000
3840,1.26649,0.33192,0.26520,0.58365,0.06737,2118342.00000
3850,1.26331,0.33074,0.26386,0.58363,0.06684,2095955.40000
3860,1.26249,0.33153,0.26243,0.58342,0.06677,2075865.60000
3870,1.26256,0.33216,0.26240,0.58315,0.06676,2063674.20000
3880,1.25847,0.33078,0.26038,0.58264,0.06662,2048347.20000
3890,1.25269,0.32695,0.25884,0.58226,0.06652,2017372.20000
3900,1.24185,0.31860,0.25703,0.58162,0.06630,1960983.00000
3910,1.21599,0.29832,0.25137,0.58180,0.06601,1764399.30000
3920,1.19918,0.28170,0.25075,0.58211,0.06625,1687545.00000
3930,1.19944,0.27950,0.25171,0.58279,0.06688,1651183.80000
3940,1.20444,0.28079,0.25379,0.58370,0.06761,1608411.00000
3950,1.21420,0.28585,0.25775,0.58435,0.06841,1564275.00000
3960,1.23162,0.29836,0.26136,0.58495,0.06886,1534349.40000
3970,1.24024,0.30538,0.26240,0.58516,0.06912,1484815.80000
